Foot,Take,TA
1,1,1.901855469
1,1,2.220703125
1,1,2.184082031
1,1,1.901123047
1,1,1.888916016
1,1,1.926513672
1,1,2.384033203
1,1,2.409423828
1,1,2.401367188
1,1,2.148193359
1,1,1.7421875
1,1,1.803710938
1,1,1.649414063
1,1,1.873535156
1,1,1.803222656
1,1,1.376708984
1,1,1.68359375
1,1,2.515380859
1,1,2.432617188
1,1,2.297851563
1,1,1.981445313
1,1,1.432861328
1,1,1.676025391
1,1,2.073974609
1,1,1.825927734
1,1,1.876464844
1,1,1.961914063
1,1,1.572509766
1,1,2.159912109
1,1,1.889404297
1,1,2.095214844
1,1,1.913085938
1,1,1.893554688
1,1,2.245849609
1,1,1.620849609
1,1,1.63671875
1,1,2.114990234
1,1,2.050537109
1,1,1.669189453
1,1,1.940917969
1,1,2.046630859
1,1,2.068359375
1,1,1.853759766
1,1,1.625
1,1,1.425537109
1,1,2.123535156
1,1,2.119384766
1,1,1.634033203
1,1,1.873046875
1,1,1.866943359
1,1,1.384033203
1,1,2.034912109
1,1,2.393066406
1,1,2.387939453
1,1,1.974121094
1,1,1.822509766
1,1,1.852783203
1,1,1.807373047
1,1,1.815673828
1,1,1.951416016
1,1,2.025146484
1,1,1.303222656
1,1,1.861328125
1,1,1.968261719
1,1,2.233642578
1,1,2.393798828
1,1,2.285888672
1,1,1.463134766
1,1,1.952636719
1,1,1.806884766
1,1,1.576660156
1,1,1.625
1,1,2.002685547
1,1,1.473388672
1,1,1.917724609
1,1,2.309814453
1,1,2.094726563
1,1,1.829101563
1,1,2.002929688
1,1,1.525878906
1,1,1.724609375
1,1,2.010986328
1,1,1.910400391
1,1,1.802978516
1,1,1.656494141
1,1,1.713378906
1,1,2.037109375
1,1,1.921630859
1,1,1.886230469
1,1,1.645507813
1,1,1.757568359
1,1,1.76171875
1,1,1.875
1,1,2.083007813
1,1,2.387207031
1,1,1.802490234
1,1,1.476318359
0,1,1.640625
0,1,1.573974609
0,1,1.596191406
0,1,1.805175781
0,1,1.509033203
0,1,2.030273438
0,1,1.817138672
0,1,1.766357422
0,1,1.622070313
0,1,1.831054688
0,1,1.505126953
0,1,1.634765625
0,1,1.530029297
0,1,1.545166016
0,1,1.553466797
0,1,1.481201172
0,1,1.545654297
0,1,1.701904297
0,1,1.727783203
0,1,1.617431641
0,1,1.498779297
0,1,1.650878906
0,1,1.517333984
0,1,1.520996094
0,1,1.697998047
0,1,1.656982422
0,1,1.665039063
0,1,1.680419922
0,1,1.642578125
0,1,1.627441406
0,1,1.71484375
0,1,1.713867188
0,1,1.563232422
0,1,1.551025391
0,1,1.651367188
0,1,1.510986328
0,1,1.577148438
0,1,1.551513672
0,1,1.716552734
0,1,1.470947266
0,1,1.603271484
0,1,1.662353516
0,1,1.539794922
0,1,1.7890625
0,1,1.7265625
0,1,1.646728516
0,1,1.692382813
0,1,1.497558594
0,1,1.640380859
0,1,1.637451172
0,1,1.607910156
0,1,1.696777344
0,1,1.698242188
0,1,1.466308594
0,1,1.704101563
0,1,1.516113281
0,1,1.433105469
0,1,1.645751953
0,1,1.592529297
0,1,1.494384766
0,1,1.821777344
0,1,1.670654297
0,1,1.594238281
0,1,1.686523438
0,1,1.562255859
0,1,1.379638672
0,1,1.698730469
0,1,1.684570313
0,1,1.601074219
0,1,1.494873047
0,1,1.560546875
0,1,1.581787109
0,1,1.604736328
0,1,1.750732422
0,1,1.521972656
0,1,1.788818359
0,1,1.651367188
0,1,1.588134766
0,1,1.496337891
0,1,1.426513672
0,1,1.432128906
0,1,1.694824219
0,1,1.583496094
0,1,1.698974609
0,1,1.593505859
0,1,1.638916016
0,1,1.631591797
0,1,1.713378906
0,1,1.611083984
0,1,1.404541016
0,1,1.478759766
0,1,1.527099609
0,1,1.534912109
0,1,1.500244141
0,1,1.335205078
0,1,1.581298828
0,1,1.524169922
0,1,1.598388672
0,1,1.523681641
0,1,1.66796875
0,1,1.456298828
0,1,1.345214844
1,2,1.771728516
1,2,1.836181641
1,2,1.806884766
1,2,1.569335938
1,2,1.64453125
1,2,1.788330078
1,2,1.681884766
1,2,1.841552734
1,2,1.675048828
1,2,1.795898438
1,2,1.706054688
1,2,1.819580078
1,2,1.53125
1,2,1.881103516
1,2,1.951171875
1,2,1.706054688
1,2,1.9375
1,2,1.918457031
1,2,1.533935547
1,2,1.920410156
1,2,1.6484375
1,2,1.897216797
1,2,1.559570313
1,2,1.786132813
1,2,1.677490234
1,2,1.931396484
1,2,2.019775391
1,2,1.918701172
1,2,1.945800781
1,2,1.930175781
1,2,1.76171875
1,2,2.150146484
1,2,1.564941406
1,2,1.848876953
1,2,1.545166016
1,2,1.890380859
1,2,2.654541016
1,2,2.265625
1,2,2.069580078
1,2,1.862060547
1,2,2.148681641
1,2,2.182617188
1,2,1.790527344
1,2,2.047363281
1,2,1.906005859
1,2,1.895019531
1,2,1.934570313
1,2,1.787109375
1,2,1.615234375
1,2,1.839355469
1,2,1.910644531
1,2,1.918457031
1,2,1.87109375
1,2,2.046386719
1,2,1.720703125
1,2,1.631103516
1,2,1.720458984
1,2,1.8125
1,2,1.788574219
1,2,1.872802734
1,2,1.663818359
1,2,1.841796875
1,2,1.842285156
1,2,1.657226563
1,2,1.814941406
