RM,PTRATIO,LSTAT,RAD,ZN,MEDV
6.575,15.3,4.98,46.025,119.0039968,24
6.421,17.8,9.14,44.947,20.73096249,21.6
7.185,17.8,4.03,50.295,84.56151864,34.7
6.998,18.7,2.94,48.986,31.42951271,33.4
7.147,18.7,5.33,50.029,142.4280311,36.2
6.43,18.7,5.21,45.01,149.1476854,28.7
6.012,15.2,12.43,42.084,74.40483927,22.9
6.172,15.2,19.15,43.204,37.43769807,27.1
5.631,15.2,29.93,39.417,42.41068908,16.5
6.004,15.2,17.1,42.028,11.41157088,18.9
6.377,15.2,20.45,44.639,51.10979576,15
6.009,15.2,13.27,42.063,102.2337221,18.9
5.889,15.2,15.71,41.223,141.9183843,21.7
5.949,21,8.26,41.643,254.6679332,20.4
6.096,21,10.26,42.672,35.79555023,18.2
5.834,21,8.47,40.838,40.13184267,19.9
5.935,21,6.58,41.545,70.61948297,23.1
5.99,21,14.67,41.93,102.0663395,17.5
5.456,21,11.69,38.192,113.396083,20.2
5.727,21,11.28,40.089,3.854533203,18.2
5.57,21,21.02,38.99,23.09127265,13.6
5.965,21,13.83,41.755,12.57335203,19.6
6.142,21,18.72,42.994,69.62856132,15.2
5.813,21,19.88,40.691,173.9473651,14.5
5.924,21,16.3,41.468,66.53773856,15.6
5.599,21,16.51,39.193,68.75318049,13.9
5.813,21,14.81,40.691,123.8968715,16.6
6.047,21,17.28,42.329,89.86630676,14.8
6.495,21,12.8,45.465,115.0098077,18.4
6.674,21,11.98,46.718,26.41804629,21
5.713,21,22.6,39.991,162.5180452,12.7
6.072,21,13.04,42.504,58.1642599,14.5
5.95,21,27.71,41.65,190.2492729,13.2
5.701,21,18.35,39.907,158.0094276,13.1
6.096,21,20.34,42.672,92.1029055,13.5
5.933,19.2,9.68,41.531,93.79024602,18.9
5.841,19.2,11.41,40.887,73.71862114,20
5.85,19.2,8.77,40.95,17.9780786,21
5.966,19.2,10.13,41.762,13.18304741,24.7
6.595,18.3,4.32,46.165,86.79268935,30.8
7.024,18.3,1.98,49.168,131.4391884,34.9
6.77,17.9,4.84,47.39,25.11195517,26.6
6.169,17.9,5.81,43.183,7.175951214,25.3
6.211,17.9,7.44,43.477,109.5208711,24.7
6.069,17.9,9.55,42.483,48.92803678,21.2
5.682,17.9,10.21,39.774,168.0153697,19.3
5.786,17.9,14.15,40.502,81.15254597,20
6.03,17.9,18.8,42.21,75.22248908,16.6
5.399,17.9,30.81,37.793,132.5919093,14.4
5.602,17.9,16.2,39.214,18.1480855,19.4
5.963,16.8,13.45,41.741,13.1415487,19.7
6.115,16.8,9.43,42.805,139.3829949,20.5
6.511,16.8,5.28,45.577,70.62134228,25
5.998,16.8,8.43,41.986,116.2846811,23.4
5.888,21.1,14.8,41.216,75.36877237,18.9
7.249,17.9,4.81,50.743,32.19247023,35.4
6.383,17.3,5.77,44.681,163.5704202,24.7
6.816,15.1,3.95,47.712,64.77945229,31.6
6.145,19.7,6.86,43.015,67.32633021,23.3
5.927,19.7,9.22,41.489,127.3555499,19.6
5.741,19.7,13.15,40.187,103.9811821,18.7
5.966,19.7,14.44,41.762,48.79500264,16
6.456,19.7,6.73,45.192,90.67536041,22.2
6.762,19.7,9.5,47.334,47.4703075,25
7.104,18.6,8.05,49.728,66.6086728,33
6.29,16.1,4.67,44.03,50.20196152,23.5
5.787,16.1,10.24,40.509,30.88860198,19.4
5.878,18.9,8.1,41.146,83.69012966,22
5.594,18.9,13.09,39.158,62.83238938,17.4
5.885,18.9,8.79,41.195,50.09034577,20.9
6.417,19.2,6.72,44.919,167.0253612,24.2
5.961,19.2,9.88,41.727,154.1730102,21.7
6.065,19.2,5.52,42.455,27.20091221,22.8
6.245,19.2,7.54,43.715,34.16467376,23.4
6.273,18.7,6.78,43.911,48.43669286,24.1
6.286,18.7,8.94,44.002,95.26842171,21.4
6.279,18.7,11.97,43.953,13.13501305,20
