arrival_1,arrival_2,arrival_3,arrival_4,peak_1,peak_2,peak_3,peak_4,peak_mag1,peak_mag2,peak_mag3,peak_mag4,coord_x,coord_z
215928,216968,215951,216189,216457,217188,216251,216376,0.007196554,0.106252163,0.004544004,0.004275743,-3133.723999,-234.9466245
238267,233485,238257,238321,238510,233602,238511,238500,0.015494223,0.065881785,0.012461915,0.006772964,-2266.082642,-151.0232695
267434,267301,267601,267306,267439,267375,272225,267310,0.002451656,0.006041907,0.007241658,0.003892998,860.9802855,-419.308441
298148,300633,300459,300594,298372,300922,300705,300755,0.006880046,0.009352891,0.047612974,0.188704856,3001.498047,-662.362274
369654,369759,369888,369923,369865,369927,369962,369950,0.089673674,0.015895534,0.006469324,0.00495837,-944.4679565,-3033.883667
427972,427924,427996,428075,428439,428211,428128,428108,0.026557949,0.212069237,0.013149152,0.008815315,-2567.303345,-549.53772
442934,443918,447848,447955,442971,447925,447985,447957,0.00421752,0.005244308,0.008426121,0.004331211,-826.5116575,-1354.407532
449680,451393,454550,454636,454663,454702,454683,454661,0.003079551,0.004084135,0.003374051,0.005298372,-287.165787,-1783.003967
461383,456480,461351,461369,461422,456508,461414,461424,0.00448611,0.004435353,0.008496714,0.015513962,350.474243,-1896.983948
505982,505718,510606,510513,505993,505724,510796,510656,0.002962647,0.002747024,0.01294745,0.040212048,2345.200928,-2597.651978
524014,519203,523918,524122,524018,519241,524019,524189,0.003230387,0.003906894,0.006158887,0.008219557,1185.006042,-2130.02002
16663,16617,16675,16736,16858,17379,16900,17000,0.021819221,0.360081094,0.008963604,0.011464276,-2068.205994,-944.2730715
26062,26025,26051,26066,26308,26087,26349,26220,0.022839831,0.198737794,0.010019314,0.008867698,-1551.758789,-1494.091675
40982,40940,40985,41015,41215,41222,41225,41237,0.036238781,0.036411384,0.008985666,0.007353468,-273.864304,-1962.503968
47823,47921,47913,47939,48269,48113,48148,48106,0.012360192,0.011145351,0.011061961,0.009093872,401.2310485,-1978.910767
55092,55072,55123,55090,55397,55532,55541,55269,0.0079297,0.007256201,0.009204035,0.014965178,950.608429,-2383.279175
61976,61945,61944,61962,62201,62329,62375,62315,0.004814682,0.006158766,0.021456635,0.019717622,1623.952393,-2379.5896
68849,69056,69045,69038,69474,69337,69687,69326,0.011681998,0.003884477,0.005815402,0.022110091,2161.184327,-2751.128663
75937,75853,75917,75885,76153,76175,76299,76048,0.006089215,0.005941381,0.018756867,0.085981079,2791.326416,-2665.572876
82586,82681,82664,82625,83982,83838,83338,83662,0.003513918,0.003748371,0.011308814,0.050909255,3131.584717,-3023.717041
89721,89621,89563,89492,89978,89868,89923,89704,0.003692208,0.003690317,0.020164493,0.044646302,2793.929688,-3101.400269
104119,104109,104176,104136,104206,104110,104182,104145,0.009249206,0.00607977,0.022090879,0.050299332,1354.567627,-2920.733887
111148,111157,111141,111099,112321,112295,111658,111216,0.009639931,0.004921309,0.021643516,0.070364544,690.237915,-2606.390137
117935,117907,117937,117909,118393,118167,118330,118034,0.009079665,0.007202938,0.027536361,0.140605936,32.8477785,-2858.945068
124543,124515,124510,124521,124868,124750,124842,125549,0.024584875,0.009434089,0.020554443,0.024128046,-667.535309,-2689.760498
130875,130907,130880,130871,131182,131031,131099,131219,0.033812423,0.006913295,0.012769326,0.016076127,-1330.421265,-2913.203613
144595,144625,144634,144636,144764,144905,145047,144757,0.121878464,0.020429392,0.01153786,0.017859847,-2643.090088,-2963.213867
151476,151486,151502,151507,151544,151761,151704,151605,0.092269923,0.013740034,0.010952094,0.013260689,-2515.857422,-3019.011353
158469,158492,158540,158580,159215,159366,158654,158655,0.353292671,0.067595358,0.009653604,0.007198188,-1833.645447,-2896.902955
165882,166077,165805,165829,165964,166086,166064,166025,0.074421556,0.012818257,0.005662359,0.002617645,-1085.816345,-3031.315674
173283,173261,173302,173294,174032,174390,174088,173387,0.331239913,0.029113401,0.011303147,0.009272919,-376.162186,-2798.942017
180196,180248,180229,180234,180371,180574,180527,180582,0.016116276,0.006464973,0.009840857,0.012754344,315.133743,-3001.702881
193688,193688,193694,193636,194120,193859,194128,193860,0.010170608,0.005712245,0.011519047,0.026355219,1667.992493,-3030.393311
200317,200334,200311,200299,200875,200649,200410,200518,0.013583115,0.00704932,0.017595751,0.053037825,2343.628418,-2826.840332
207114,207087,207102,207076,207452,207322,207405,207170,0.007271626,0.005950315,0.019160842,0.085636735,3027.678345,-3092.253418
214023,213955,214022,213988,214254,214099,214491,214080,0.007771016,0.007199138,0.015409043,0.085990199,3032.937988,-3096.937256
221585,221533,221483,221453,221840,221823,222513,222295,0.005381995,0.0053738,0.04900423,0.169707465,2187.842163,-2980.326172
229575,229602,229577,229620,229693,229683,229667,229633,0.003369659,0.003034467,0.006346925,0.026994885,1489.116516,-3211.642456
237441,237616,237573,237556,238621,237839,238057,238120,0.00673685,0.005198578,0.015502394,0.050909946,828.289856,-2997.239014
244442,244437,244404,244217,244733,244476,244696,244493,0.009121355,0.006752118,0.021113824,0.090540126,142.885441,-3168.139283
251492,251492,251475,251456,251869,251702,251713,251555,0.018777713,0.007701506,0.011056991,0.019773334,-500.4647825,-2894.629517
258432,258454,258433,258416,258669,258692,258625,258682,0.025845007,0.008545181,0.011808232,0.017882518,-1178.980835,-3113.1073
265301,265280,265233,265299,265560,265606,265447,265438,0.05140415,0.009267279,0.017056393,0.008768554,-1838.397889,-2969.33374
272295,272119,272098,272302,272433,272608,272489,272441,0.160351733,0.036336246,0.01846576,0.023303301,-2478.378906,-3144.812989
279182,279209,279250,279228,279350,279529,279394,279446,0.109517906,0.016145224,0.013086858,0.007955596,-3095.777955,-2850.793579
286090,286125,286138,286168,286178,286303,286446,286494,0.332925716,0.054910851,0.011546449,0.012847826,-2897.657349,-2729.015015
293358,293390,293396,293401,294298,293604,294383,294466,0.261029695,0.03356633,0.008410302,0.007922689,-2188.719239,-2917.552857
301601,301715,301824,301852,302187,301934,302044,301993,0.083698015,0.009358225,0.006609104,0.003882514,-1483.361756,-2809.06128
302790,302772,303381,302797,302813,302773,303385,304306,0.030968679,0.004235839,0.000979475,0.00159448,-1483.310425,-2808.484742
309396,309426,309434,309448,310249,309685,309658,309727,0.101633965,0.01260342,0.007736268,0.007567411,-793.2431335,-3014.475464
323050,323054,323064,323069,323400,323183,323307,323536,0.022119795,0.007782092,0.016068448,0.012849738,611.6670535,-2926.206421
329869,329890,329849,329840,330126,330342,330042,329961,0.024574986,0.006523243,0.011139698,0.018876623,1299.327149,-2733.488282
337037,337032,337010,336998,337417,337275,337337,337254,0.017085043,0.01077148,0.029126038,0.036986072,1980.423706,-2967.717163
343976,344001,343979,343946,344199,344225,344199,344162,0.024918822,0.013638141,0.014666019,0.115245383,2590.310669,-2787.186402
350928,350953,350826,350900,351449,351104,351311,350993,0.007106837,0.005343303,0.026739173,0.101983009,3150.728027,-2928.006104
357790,357756,357713,357697,357854,357838,358096,357824,0.004260241,0.004758112,0.01536362,0.101595317,3149.661133,-2333.379517
364752,365027,365037,364976,366077,366005,365230,365892,0.002791141,0.002953327,0.020785967,0.138825829,3262.037598,-1740.188416
373365,373396,373497,373660,374117,373840,373818,373767,0.003369965,0.002263342,0.047338274,0.079271523,2635.507813,-1744.125794
381330,381381,381309,381311,381564,381818,381536,381458,0.003121758,0.00482958,0.117388327,0.054330799,1989.968628,-1507.344239
389544,389987,389942,389955,390189,390098,390146,390109,0.003754797,0.004011033,0.074509898,0.050191519,1319.8526,-1748.76709
397160,397086,397063,397066,397238,397558,398228,398299,0.003943127,0.003891572,0.016934763,0.026992934,672.0681765,-1523.984375
403742,403903,403854,403873,404230,403987,404066,404093,0.004459037,0.004630423,0.010142082,0.027632155,31.7959725,-1800.637756
410564,410422,410587,410628,411158,410799,410952,411000,0.007546681,0.005557098,0.021275586,0.008282786,-571.918518,-1543.614808
424192,424188,424085,424229,424398,424445,424506,424505,0.01144733,0.012868525,0.008690269,0.009757047,-1933.092041,-1609.599915
430800,430765,430763,430820,431076,430976,431396,430916,0.020690575,0.031675806,0.01086562,0.013451871,-2548.634034,-1977.626404
438009,438001,438007,438023,438318,438247,438649,438391,0.035259407,0.047950183,0.006598272,0.011184079,-3099.824341,-1709.295166
444554,444563,444646,444621,444770,444772,444835,444796,0.130668333,0.0875395,0.012108835,0.009788378,-3128.406983,-1711.275696
451713,451693,451751,451802,452131,451903,452234,451880,0.040808749,0.051690971,0.00342057,0.003050119,-2848.37793,-1747.342041
459199,459248,459246,459257,459200,459456,459258,459263,0.023920347,0.020452532,0.003646519,0.002723067,-2154.555054,-1608.48877
465946,465968,466043,466042,466415,466118,466830,466924,0.060404583,0.042701376,0.004836269,0.004367172,-1480.262329,-1906.18451
473316,473283,473339,473352,473537,473661,473711,473434,0.023408092,0.032088386,0.008032162,0.00869233,-799.3096315,-1754.250916
480001,479990,479950,480016,480321,480376,480298,480140,0.026377661,0.014756468,0.00952922,0.007386752,-83.493099,-1975.772156
486811,486799,486727,486839,487301,488405,487019,487223,0.010866342,0.01224287,0.01557281,0.012446923,614.0402525,-1763.822876
493379,493725,493732,493763,494167,493929,494035,493922,0.010635975,0.016269017,0.015501506,0.014430789,1303.174073,-1943.786072
500511,500486,500459,500454,500776,500716,500841,500683,0.009202614,0.011056716,0.032407939,0.017960207,1982.998291,-1722.889649
507295,507240,507226,507249,507554,507284,508442,507436,0.003468949,0.004178984,0.027112066,0.013022727,2667.27356,-1914.2724
514006,513999,513965,513964,514258,514141,514280,514298,0.00338029,0.004413208,0.043792954,0.040239274,3338.087403,-1685.263489
520851,520877,520834,520854,522035,521125,520963,520963,0.003868834,0.004861043,0.044407728,0.037800232,3161.587891,-1429.076233
